siteID,year,annualMean_moisture
ABBY,2017,0.008616122961104141
ABBY,2018,0.00817151677852349
ABBY,2019,0.22496045988548485
ABBY,2020,0.2401648922112911
DSNY,2017,0.21039565217391304
DSNY,2018,0.1884387596899225
DSNY,2019,0.2704419132079512
DSNY,2020,0.25165832007989053
HARV,2017,0.1395537037037037
HARV,2018,0.1982103092783505
HARV,2019,0.15085884064422786
HARV,2020,0.13828354824127093
JERC,2016,0.12622
JERC,2017,0.06955827067669174
JERC,2018,0.06525757575757576
JERC,2019,0.15504951321396687
JERC,2020,0.17878634403864174
MLBS,2017,0.101
MLBS,2018,0.17999494949494949
MLBS,2019,0.21566555895312373
MLBS,2020,0.2347170535414017
ONAQ,2017,0.14070701754385964
ONAQ,2018,0.13820544217687075
ONAQ,2019,0.18843761068334938
ONAQ,2020,0.16410189865219554
SCBI,2016,0.22384603174603174
SCBI,2017,0.20208988764044944
SCBI,2018,0.21592426470588236
SCBI,2019,0.3015759574220229
SCBI,2020,0.3014265146283845
UNDE,2017,0.12293118279569892
UNDE,2018,0.10695697674418604
UNDE,2019,0.16635662432928072
UNDE,2020,0.16165171990697338
